bundle_path	original_reference	original_sha256	bundle_sha256	transformation
corrected-402/normal-confirmations/historical-alias-normal-p2/list.roots	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p2/list.roots	sha256:06f1ac3157e7bda6986729e7f7992a5710ab3352eb0c6644f67d6297dcb33094	sha256:06f1ac3157e7bda6986729e7f7992a5710ab3352eb0c6644f67d6297dcb33094	copied
corrected-402/normal-confirmations/historical-alias-normal-p2/run.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p2/run.meta	sha256:af9e581ddc42ce046973108a0000c5b62943bcae1e7dc531c6f4c523b3c45be2	sha256:af9e581ddc42ce046973108a0000c5b62943bcae1e7dc531c6f4c523b3c45be2	copied
corrected-402/normal-confirmations/historical-alias-normal-p2/source.prebody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p2/source.prebody.identity	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	copied
corrected-402/normal-confirmations/historical-alias-normal-p2/source.postbody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p2/source.postbody.identity	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	copied
corrected-402/normal-confirmations/historical-alias-normal-p2/binary.sha256	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p2/run.binary-before.stdout	sha256:39182dd2afc65f380f5ef1eec6be960498b9fec6ec9ddf62356445b52a202314	sha256:b9b6997d68d9e7badbfb46bfad848a98df1b241a520913d7b4541ca0f1b23b96	normalized-private-binary-path
corrected-402/normal-confirmations/historical-alias-normal-p2/outcomes.actual.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p2/events.json	sha256:8162607e2af8752a1c62c0f64403dd69a13c9ff8a08005c440587fad11d51873	sha256:b5c533ef6911fae03ccb19126a603b145bcce884cb0cc7420791da29044155cf	exact-top-level-terminal-outcomes
corrected-402/normal-confirmations/historical-alias-normal-p3/list.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p3/list.meta	sha256:ef76a251c5f844c30bd3b339a6c36f2e5f4c345982a3c008b68c1ed7d4db2236	sha256:ef76a251c5f844c30bd3b339a6c36f2e5f4c345982a3c008b68c1ed7d4db2236	copied
corrected-402/normal-confirmations/historical-alias-normal-p3/list.roots	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p3/list.roots	sha256:06f1ac3157e7bda6986729e7f7992a5710ab3352eb0c6644f67d6297dcb33094	sha256:06f1ac3157e7bda6986729e7f7992a5710ab3352eb0c6644f67d6297dcb33094	copied
corrected-402/normal-confirmations/historical-alias-normal-p3/run.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p3/run.meta	sha256:7221649d0fdb39200c84461ae2be1189754293868208c829254d878cdf2adac7	sha256:7221649d0fdb39200c84461ae2be1189754293868208c829254d878cdf2adac7	copied
corrected-402/normal-confirmations/historical-alias-normal-p3/source.prebody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p3/source.prebody.identity	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	copied
corrected-402/normal-confirmations/historical-alias-normal-p3/source.postbody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p3/source.postbody.identity	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	copied
corrected-402/normal-confirmations/historical-alias-normal-p3/binary.sha256	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p3/run.binary-before.stdout	sha256:39182dd2afc65f380f5ef1eec6be960498b9fec6ec9ddf62356445b52a202314	sha256:b9b6997d68d9e7badbfb46bfad848a98df1b241a520913d7b4541ca0f1b23b96	normalized-private-binary-path
corrected-402/normal-confirmations/historical-alias-normal-p3/outcomes.actual.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p3/events.json	sha256:695de947d806969ea3b182f6e6cc7d1e2ecebf3a6ee3a6213b37c7a828d6e215	sha256:b5c533ef6911fae03ccb19126a603b145bcce884cb0cc7420791da29044155cf	exact-top-level-terminal-outcomes
corrected-402/race-original/build.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/build.meta	sha256:cd3c040da01f15800fe6b72a4bec82044a5962fc81788648b6f7dbd43eddea39	sha256:cd3c040da01f15800fe6b72a4bec82044a5962fc81788648b6f7dbd43eddea39	copied
corrected-402/race-original/list.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/list.meta	sha256:0763e9f6eecf003b1ae3dd05ee497e706428582c9a163915b35757e32205d3e0	sha256:0763e9f6eecf003b1ae3dd05ee497e706428582c9a163915b35757e32205d3e0	copied
corrected-402/race-original/list.roots	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/list.roots	sha256:6165e4a77b061acd241697a1a0e627a87080254c9a73ceca1ac59497c5dbceb7	sha256:6165e4a77b061acd241697a1a0e627a87080254c9a73ceca1ac59497c5dbceb7	copied
corrected-402/race-original/run.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/run.meta	sha256:0e12c5b315fc8c5a452aa89cf28e94da775cab9c02a566c635c6c0ba4ee873c7	sha256:0e12c5b315fc8c5a452aa89cf28e94da775cab9c02a566c635c6c0ba4ee873c7	copied
corrected-402/race-original/timeout-summary.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/timeout-summary.meta	sha256:4fa2e09bba17946e40c8bca6bce36240c5a545d3314aa7e0e607fb4c1abe0076	sha256:4fa2e09bba17946e40c8bca6bce36240c5a545d3314aa7e0e607fb4c1abe0076	copied-with-superseded-observer-field
corrected-402/race-original/cleanup-check.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/cleanup-check.meta	sha256:d5039d5fc9493d6e23b390845ff66b6016cc27dc086e5b9735f8c028dbefb02d	sha256:d5039d5fc9493d6e23b390845ff66b6016cc27dc086e5b9735f8c028dbefb02d	copied-authoritative-cleanup-check
corrected-402/race-original/outcomes.top-level.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/outcomes.top-level.tsv	sha256:ec88915f66c859a5ee8bbc1df26b6407a978a84bc2b7bfdc84a7f4fb9664ffb2	sha256:ec88915f66c859a5ee8bbc1df26b6407a978a84bc2b7bfdc84a7f4fb9664ffb2	raw-converted-terminal-outcomes
corrected-402/race-original/outcomes.unresolved.expected-roots	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/outcomes.unresolved.expected-roots	sha256:0f1e3a6a1f4a75cbbb06ea10294f6d49ea9b2e9c58a255e3e3c12d7162ca4933	sha256:0f1e3a6a1f4a75cbbb06ea10294f6d49ea9b2e9c58a255e3e3c12d7162ca4933	copied
corrected-402/race-original/source.prebody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/source.prebody.identity	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	copied
corrected-402/race-original/source.postbody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/source.postbody.identity	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	copied
corrected-402/race-original/binary.sha256	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/binary.sha256	sha256:413ed760fca8d369b97e00f4caff7f5457d27908e1fb87384475ed5c15314fc3	sha256:2214d5f17ea19d42728898e9684a85ed9970c90c4e6ae285cf141610057c0f69	normalized-private-binary-path
corrected-402/race-original/timeout-excerpt.txt	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race/raw/test2json.raw	sha256:50ef22e942483fd4205dc88c66941f38eb356707a96851514df04e18ae6c5a0a	sha256:5612281fed34ab93e512125dc8bcbff939648ee9a39070c52324f6d515b5d46c	sanitized-selected-timeout-excerpt
corrected-402/race-recovery/sequence.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/sequence.meta	sha256:5b9ea42b50dbb016e616cfe63a7ecb372e39da9dab16ddcd19829ddc4b8d178d	sha256:5b9ea42b50dbb016e616cfe63a7ecb372e39da9dab16ddcd19829ddc4b8d178d	copied
corrected-402/race-recovery/binary.sha256	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/reused-binary.sha256	sha256:413ed760fca8d369b97e00f4caff7f5457d27908e1fb87384475ed5c15314fc3	sha256:2214d5f17ea19d42728898e9684a85ed9970c90c4e6ae285cf141610057c0f69	normalized-private-binary-path
corrected-402/race-recovery/p1/list.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p1/list.meta	sha256:744d8c76571e7ea3cd92b7985db83e881b758a6e9d7be28893a9c315c002f1a7	sha256:744d8c76571e7ea3cd92b7985db83e881b758a6e9d7be28893a9c315c002f1a7	copied
corrected-402/race-recovery/p1/list.roots	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p1/list.roots	sha256:0f1e3a6a1f4a75cbbb06ea10294f6d49ea9b2e9c58a255e3e3c12d7162ca4933	sha256:0f1e3a6a1f4a75cbbb06ea10294f6d49ea9b2e9c58a255e3e3c12d7162ca4933	copied
corrected-402/race-recovery/p1/run.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p1/run.meta	sha256:7ddc76ea2ef3b220f93220dc72a242346fa331c9db367e2dcf02937d53d76601	sha256:7ddc76ea2ef3b220f93220dc72a242346fa331c9db367e2dcf02937d53d76601	copied
corrected-402/race-recovery/p1/outcomes.actual.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p1/outcomes.actual.tsv	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	raw-converted-terminal-outcomes
corrected-402/race-recovery/p1/outcomes.expected.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p1/outcomes.expected.tsv	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	copied
corrected-402/race-recovery/p1/source.prelist.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p1/source.prelist.identity	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	copied
corrected-402/race-recovery/p1/source.prebody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p1/source.prebody.identity	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	copied
corrected-402/race-recovery/p1/source.postbody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p1/source.postbody.identity	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	copied
corrected-402/race-recovery/p1/binary.sha256	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p1/run.binary-before.stdout	sha256:413ed760fca8d369b97e00f4caff7f5457d27908e1fb87384475ed5c15314fc3	sha256:2214d5f17ea19d42728898e9684a85ed9970c90c4e6ae285cf141610057c0f69	normalized-private-binary-path
corrected-402/race-recovery/p2/list.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p2/list.meta	sha256:c9ad23f6c1d28dc07aff42b47e04c20684c61ffef20937a713c026714ce1439b	sha256:c9ad23f6c1d28dc07aff42b47e04c20684c61ffef20937a713c026714ce1439b	copied
corrected-402/race-recovery/p2/list.roots	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p2/list.roots	sha256:0f1e3a6a1f4a75cbbb06ea10294f6d49ea9b2e9c58a255e3e3c12d7162ca4933	sha256:0f1e3a6a1f4a75cbbb06ea10294f6d49ea9b2e9c58a255e3e3c12d7162ca4933	copied
corrected-402/race-recovery/p2/run.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p2/run.meta	sha256:c3e4b155ae77a59da924dfd312984b80665463322cd5438e9da7ac4411b0c33c	sha256:c3e4b155ae77a59da924dfd312984b80665463322cd5438e9da7ac4411b0c33c	copied
corrected-402/race-recovery/p2/outcomes.actual.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p2/outcomes.actual.tsv	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	raw-converted-terminal-outcomes
corrected-402/race-recovery/p2/outcomes.expected.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p2/outcomes.expected.tsv	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	copied
corrected-402/race-recovery/p2/source.prelist.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p2/source.prelist.identity	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	copied
corrected-402/race-recovery/p2/source.prebody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p2/source.prebody.identity	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	copied
corrected-402/race-recovery/p2/source.postbody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p2/source.postbody.identity	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	copied
corrected-402/race-recovery/p2/binary.sha256	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p2/run.binary-before.stdout	sha256:413ed760fca8d369b97e00f4caff7f5457d27908e1fb87384475ed5c15314fc3	sha256:2214d5f17ea19d42728898e9684a85ed9970c90c4e6ae285cf141610057c0f69	normalized-private-binary-path
corrected-402/race-recovery/p3/list.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p3/list.meta	sha256:f90495725e58b0151009dd58ab07cce892b0138e9a870df5478e94e87198f238	sha256:f90495725e58b0151009dd58ab07cce892b0138e9a870df5478e94e87198f238	copied
corrected-402/race-recovery/p3/list.roots	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p3/list.roots	sha256:0f1e3a6a1f4a75cbbb06ea10294f6d49ea9b2e9c58a255e3e3c12d7162ca4933	sha256:0f1e3a6a1f4a75cbbb06ea10294f6d49ea9b2e9c58a255e3e3c12d7162ca4933	copied
corrected-402/race-recovery/p3/run.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p3/run.meta	sha256:ecc89438a4f1ed4c09a22c8862f099cb546e14b2b239ccf61ad58147364305f5	sha256:ecc89438a4f1ed4c09a22c8862f099cb546e14b2b239ccf61ad58147364305f5	copied
corrected-402/race-recovery/p3/outcomes.actual.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p3/outcomes.actual.tsv	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	raw-converted-terminal-outcomes
